RJ Peterson:A Mishra:106:0:1.0
SN Khan:Anureet Singh:59:-1:1.0
KK Nair:RS Bopara:88:-1:1.0
MR Marsh:R Bhatia:84:-1:1.0
R Rampaul:IK Pathan:120:0:1.0
RN ten Doeschate:KV Sharma:58:-1:1.0
YS Chahal:L Balaji:118:1:1.0
KD Karthik:DW Steyn:113:-1:1.0
A Mukund:Sohail Tanvir:120:-1:1.0
DJ Harris:DJ Hussey:61:-1:1.0
MA Agarwal:RA Jadeja:60:-1:1.0
DB Das:Azhar Mahmood:104:-1:1.0
JDS Neesham:PP Chawla:116:-1:1.0
S Randiv:SL Malinga:113:-1:1.0
Bipul Sharma:PP Chawla:72:-1:1.0
JP Faulkner:KV Sharma:99:-1:1.0
M Klinger:M Morkel:12:-1:1.0
UA Birla:Iqbal Abdulla:43:-1:1.0
S Vidyut:DW Steyn:96:-1:1.0
HH Gibbs:Z Khan:25:-1:1.0
AP Tare:Sandeep Sharma (1):23:-1:1.0
Ankit Sharma:DJ Bravo:118:-1:1.0
AL Menaria:R Sharma:85:-1:1.0
TM Dilshan:S Sreesanth:8:-1:1.0
SM Katich:MF Maharoof:19:-1:1.0
Misbah-ul-Haq:DB Ravi Teja:67:-1:1.0
DS Kulkarni:R Ashwin:119:-1:1.0
Pankaj Singh:IK Pathan:120:0:1.0
Shakib Al Hasan:CH Morris:115:-1:1.0
HH Pandya:Imran Tahir:97:-1:1.0
Yashpal Singh:DJ Bravo:80:-1:1.0
KS Williamson:YS Chahal:59:-1:1.0
LPC Silva:AM Nayar:55:-1:1.0
SA Asnodkar:CRD Fernando:43:-1:1.0
B Laughlin:PP Ojha:91:1:1.0
AR Patel:WD Parnell:115:1:1.0
L Ronchi:IK Pathan:12:0:1.0
WPUJC Vaas:CK Langeveldt:111:-1:1.0
AP Majumdar:HV Patel:85:-1:1.0
BR Dunk:Sandeep Sharma:5:-1:1.0
R Bhatia:P Awana:114:-1:1.0
R Tewatia:AR Patel:95:-1:1.0
PA Patel:AD Mathews:36:-1:1.0
DT Christian:Iqbal Abdulla:100:-1:1.0
A Ashish Reddy:NM Coulter-Nile:116:-1:1.0
N Saini:SW Tait:33:-1:1.0
Harpreet Singh:S Aravind:119:1:1.0
MA Khote:S Sreesanth:104:-1:1.0
SMSM Senanayake:P Kumar:119:-1:1.0
S Rana:AR Patel:41:-1:1.0
AB de Villiers:RV Gomez:108:6:1.0
UBT Chand:A Mishra:50:-1:1.0
Shami Ahmed:K Cooper:114:-1:1.0
RG Sharma:DT Christian:120:6:1.0
A Nehra:IK Pathan:120:0:1.0
Harbhajan Singh:AB Dinda:118:-1:1.0
Gurkeerat Singh:J Botha:99:-1:1.0
MS Bisla:P Kumar:1:-1:1.0
M Kaif:RR Raje:68:1:1.0
Shoaib Ahmed:SK Raina:86:1:1.0
CM Gautam:R Dhawan:58:-1:1.0
SM Harwood:FH Edwards:117:0:1.0
PJ Cummins:DJ Bravo:103:-1:1.0
R Sharma:Harbhajan Singh:104:-1:1.0
Sunny Gupta:SB Jakati:95:-1:1.0
MK Pandey:JP Duminy:99:1:1.0
STR Binny:NLTC Perera:84:-1:1.0
DJ Thornely:AB Agarkar:30:0:1.0
DR Smith:SW Tait:108:1:1.0
BB McCullum:DW Steyn:4:-1:1.0
AB Agarkar:PD Collingwood:114:-1:1.0
SK Raina:YK Pathan:54:-1:1.0
SM Pollock:S Sreesanth:92:-1:1.0
C Nanda:MM Patel:117:-1:1.0
P Kumar:NM Coulter-Nile:118:1:1.0
OA Shah:R Vinay Kumar:117:-1:1.0
V Kohli:R Vinay Kumar:33:-1:1.0
IC Pandey:CH Gayle:119:-1:1.0
WP Saha:AB McDonald:118:1:1.0
