R Rampaul:SR Watson:114:-1:1.0
RN ten Doeschate:MC Henriques:90:-1:1.0
YS Chahal:B Kumar:118:1:1.0
KD Karthik:Shakib Al Hasan:71:-1:1.0
DJ Harris:J Syed Mohammad:70:1:1.0
MA Agarwal:B Kumar:13:-1:1.0
DB Das:R Ashwin:76:-1:1.0
JDS Neesham:Karanveer Singh:102:-1:1.0
Bipul Sharma:DJ Bravo:110:1:1.0
JP Faulkner:AD Russell:87:-1:1.0
M Klinger:YK Pathan:71:-1:1.0
S Vidyut:Sohail Tanvir:17:-1:1.0
HH Gibbs:JA Morkel:103:1:1.0
AP Tare:WD Parnell:20:-1:1.0
Ankit Sharma:KA Pollard:120:-1:1.0
AL Menaria:DS Kulkarni:113:-1:1.0
SM Katich:A Symonds:26:-1:1.0
DPMD Jayawardene:DL Vettori:91:-1:1.0
DS Kulkarni:MA Starc:115:-1:1.0
Pankaj Singh:A Nehra:119:1:1.0
Shakib Al Hasan:DR Smith:80:-1:1.0
HH Pandya:DJ Bravo:116:-1:1.0
Yashpal Singh:A Mishra:45:-1:1.0
BJ Haddin:J Syed Mohammad:29:-1:1.0
LPC Silva:V Kohli:80:-1:1.0
SA Asnodkar:M Muralitharan:53:-1:1.0
AR Patel:MA Starc:116:-1:1.0
L Ronchi:DP Nannes:2:-1:1.0
WPUJC Vaas:SW Tait:108:-1:1.0
AP Majumdar:J Botha:69:-1:1.0
BR Dunk:HV Patel:19:-1:1.0
R Bhatia:RA Jadeja:93:-1:1.0
PA Patel:MM Patel:10:-1:1.0
DT Christian:MM Patel:108:-1:1.0
A Ashish Reddy:TG Southee:120:2:1.0
SP Fleming:Sohail Tanvir:5:-1:1.0
Harpreet Singh:SR Watson:109:-1:1.0
T Taibu:PJ Sangwan:94:-1:1.0
ND Doshi:P Parameswaran:111:-1:1.0
MA Khote:RP Singh:119:0:1.0
SMSM Senanayake:CH Morris:120:0:1.0
S Rana:DW Steyn:120:-1:1.0
AB de Villiers:S Sreesanth:44:-1:1.0
UBT Chand:P Kumar:42:-1:1.0
AC Voges:AB Dinda:81:-1:1.0
RG Sharma:JM Kemp:120:1:1.0
A Nehra:IK Pathan:120:1:1.0
Harbhajan Singh:JD Unadkat:119:-1:1.0
JO Holder:R Vinay Kumar:117:-1:1.0
C Madan:AB McDonald:33:-1:1.0
Gurkeerat Singh:SP Narine:90:-1:1.0
MS Bisla:A Mishra:50:-1:1.0
M Kaif:JE Taylor:120:2:1.0
Shoaib Ahmed:DP Nannes:111:-1:1.0
CM Gautam:VR Aaron:53:-1:1.0
SM Harwood:JA Morkel:116:1:1.0
R Sharma:SK Trivedi:118:-1:1.0
MK Pandey:SL Malinga:5:-1:1.0
STR Binny:KA Pollard:68:-1:1.0
DJ Thornely:Shahid Afridi:52:-1:1.0
DR Smith:Sohail Tanvir:112:-1:1.0
BB McCullum:V Kohli:69:-1:1.0
AB Agarkar:P Kumar:119:1:1.0
SK Raina:YK Pathan:34:-1:1.0
SM Pollock:Sohail Tanvir:100:-1:1.0
P Kumar:KMDN Kulasekara:120:2:1.0
OA Shah:SL Malinga:120:2:1.0
V Kohli:IK Pathan:105:-1:1.0
WP Saha:MF Maharoof:120:0:1.0
